episode,date,scale,total_reward,decisions,switches,wall_s
1,0507,0.83,-343715814,58663,3796,886.5
2,0507,1.51,-1356510945,58721,3793,3037.7
3,0507,1.13,-76911665,61229,3448,239.0
4,0506,1.34,-382976898,42967,7402,1102.1
5,0507,0.61,-1192552,58303,4056,71.2
6,0507,0.51,-541459,54904,4903,51.2
7,0506,1.00,-2831863,57181,4309,87.5
8,0505,0.59,-564378,59643,3872,85.2
9,0507,1.46,-33969149,58336,4139,183.5
10,0506,1.02,-9698681,55782,4709,134.2
11,0506,1.25,-46183433,56805,4428,239.9
12,0506,0.77,-1039190,57227,4563,129.2
13,0507,1.58,-48979398,52966,5447,240.2
14,0507,0.56,-535664,56706,4857,125.0
15,0507,1.22,-5501901,52704,5488,152.1
16,0505,0.62,-502918,55438,5040,146.4
17,0507,1.15,-2920309,50920,6053,186.0
18,0507,1.25,-4853229,50678,6081,147.7
19,0507,0.79,-649092,52328,5825,182.1
20,0507,0.95,-1087775,50656,6152,191.9
