episode,date,scale,total_reward,decisions,switches,wall_s
1,0507,1.39,-776885493,45499,6532,1479.2
2,0506,1.57,-546962816,54005,4846,1228.2
3,0505,0.89,-5113198,31324,9749,36.3
4,0507,1.50,-829831536,34953,9107,1375.4
5,0505,1.07,-5943371,46333,6926,43.4
6,0506,0.61,-668636,29503,10204,34.1
7,0505,0.92,-854959,44329,7250,42.0
8,0505,0.53,-375246,43243,7526,38.8
9,0507,0.89,-63058386,43583,7331,102.0
10,0505,1.24,-6320388,44287,7259,62.2
11,0507,0.52,-410282,46443,6806,52.4
12,0507,0.72,-729288,42700,7664,58.7
13,0506,1.22,-244288051,49888,6047,504.4
14,0505,1.01,-1266850,34899,9211,72.0
15,0506,1.32,-285019420,43066,7563,622.0
16,0507,0.91,-68953568,44386,7171,141.4
17,0505,1.00,-1112207,39731,8295,82.5
18,0507,0.74,-48976733,45662,6980,120.8
19,0505,1.46,-14799734,46653,6855,110.7
20,0506,1.44,-261204558,50502,6076,593.2
