episode,date,scale,total_reward,decisions,switches,wall_s
1,0507,1.49,-81438609,61051,3376,191.1
2,0505,1.14,-596069311,52335,5363,1103.4
3,0507,1.29,-762878532,50384,5645,1440.6
4,0506,1.49,-432420188,50506,5842,861.4
5,0507,0.61,-16050976,44815,7064,52.2
6,0506,1.46,-406600293,52194,5382,817.9
7,0507,0.84,-24891885,45525,6779,68.1
8,0505,0.81,-1015446,51956,5521,52.9
9,0506,0.86,-1743872,54439,4956,61.5
10,0507,1.46,-124395450,47523,6542,228.1
11,0507,1.07,-38134334,43495,7374,98.5
12,0506,1.56,-431611370,54420,5090,942.5
13,0507,1.09,-55544019,38446,8479,124.6
14,0506,1.34,-113531871,54435,4986,283.2
15,0505,1.35,-5461908,51536,5734,96.2
16,0505,0.54,-445031,56972,4426,82.0
17,0506,0.76,-817882,53403,5361,90.8
18,0506,1.03,-3870442,51587,5681,102.5
19,0507,1.29,-76031991,39997,8214,176.1
20,0507,1.18,-58934710,39029,8402,152.3
