episode,date,scale,total_reward,decisions,switches,wall_s
1,0507,0.69,-51772163,61931,4449,48.9
2,0505,0.68,-8859033,62195,4401,31.3
3,0506,0.87,-575694530,59591,4874,754.2
4,0506,0.67,-3165541,62199,4400,40.9
5,0505,1.13,-25857589,45048,7518,60.0
6,0505,1.14,-1699932,49039,6793,46.7
7,0505,1.19,-4491757,56994,5346,56.6
8,0507,1.20,-83096317,54308,5836,135.4
9,0505,0.75,-752890,50061,6608,54.9
10,0506,0.81,-1500029,54264,5843,60.0
11,0506,0.98,-4784601,55133,5686,69.4
12,0507,0.58,-418109,50238,6575,62.7
13,0505,1.15,-1512450,48707,6854,75.1
14,0505,1.07,-1216946,48040,6974,77.8
15,0507,1.27,-6907103,49512,6707,107.3
16,0506,0.78,-844258,49281,6749,115.9
17,0506,0.65,-534221,49347,6737,121.1
18,0505,0.73,-520069,47004,7163,133.9
19,0506,1.14,-23832683,53989,5893,191.2
20,0506,0.53,-380358,49237,6757,141.7
