episode,date,scale,total_reward,decisions,switches,wall_s
1,0507,1.07,-6796642,57335,5284,1347.2
2,0507,0.71,-1085917,60270,4751,38.6
3,0506,1.18,-1695240,54484,5803,367.9
4,0506,1.25,-2329255,56411,5453,81.5
5,0507,1.30,-1302667,44938,7538,71.7
6,0506,1.30,-1718718,53503,5982,106.9
7,0506,0.53,-269104,40987,8257,52.1
8,0505,0.84,-395270,39243,8574,63.3
9,0505,1.11,-612107,40118,8415,71.1
10,0506,0.75,-457205,41392,8184,69.1
11,0506,0.88,-638360,40711,8308,76.5
12,0506,0.58,-289631,38688,8675,71.9
13,0506,0.55,-271674,36519,9070,69.8
14,0507,0.77,-371768,34274,9478,82.3
15,0507,0.77,-369586,34540,9430,73.2
16,0506,1.20,-1356762,48445,6901,106.9
17,0506,1.17,-1244427,48651,6864,118.1
18,0507,0.52,-225492,34026,9522,79.5
19,0506,1.15,-1218655,45860,7371,108.5
20,0507,0.53,-224979,31545,9974,85.5
