episode,date,scale,total_reward,decisions,switches,wall_s
1,0507,1.49,-92860908,61634,3210,201.9
2,0505,0.97,-490956706,57014,4274,1108.8
3,0505,0.96,-325060456,35698,8785,717.2
4,0506,1.56,-682573704,59049,3849,1497.4
5,0505,0.86,-2289311,25160,11032,57.1
6,0506,0.63,-188667607,53359,5320,354.1
7,0506,1.25,-354610171,48500,6303,757.9
8,0505,1.35,-13408224,52144,5633,74.9
9,0506,0.73,-1078232,49512,6205,60.1
10,0506,0.62,-772127,50491,5971,62.1
11,0507,0.81,-1077043,42857,7647,66.0
12,0507,1.57,-95652591,52383,5765,234.4
13,0505,1.10,-26474310,49655,6434,103.8
14,0506,1.22,-137169687,47116,6750,299.3
15,0507,1.03,-19493533,47818,6826,106.1
16,0505,1.38,-101236810,46566,7034,239.4
17,0507,0.84,-13452440,46413,7119,108.6
18,0507,1.14,-80641008,41869,7933,208.8
19,0507,0.85,-29357874,43687,7603,131.6
20,0506,1.41,-278635677,48973,6592,639.0
