episode,date,scale,total_reward,decisions,switches,wall_s
1,0505,0.90,-5343300,58468,5078,949.4
2,0505,0.73,-2154699,54771,5751,61.5
3,0507,1.06,-3198803,65244,3846,739.8
4,0505,0.83,-782007,30264,10206,46.1
5,0505,1.29,-2043718,52845,6101,281.0
6,0505,1.07,-741958,38116,8779,71.1
7,0507,1.23,-916329,46112,7326,84.9
8,0505,0.92,-485198,26148,10956,72.0
9,0507,0.62,-285485,26124,10960,69.7
10,0506,0.75,-462912,28797,10474,68.8
11,0507,0.67,-322035,28207,10580,83.8
12,0507,1.17,-743605,38913,8634,73.8
13,0505,1.14,-658629,40836,8284,102.6
14,0507,1.28,-908406,40954,8263,118.0
15,0506,0.56,-295109,24088,11330,87.4
16,0507,0.86,-475847,32702,9764,98.8
17,0506,1.16,-1282790,36081,9149,145.9
18,0506,1.11,-1139147,36838,9012,132.0
19,0507,1.25,-889167,42188,8038,123.8
20,0506,1.14,-1241414,37207,8944,123.9
