episode,date,scale,total_reward,decisions,switches,wall_s
1,0505,0.79,-4212818,59711,4852,352.3
2,0507,0.55,-594157,38628,8686,32.7
3,0505,1.05,-4632548,62756,4299,815.4
4,0506,1.00,-2972485,56695,5401,304.8
5,0506,0.91,-1827829,55463,5625,550.6
6,0506,0.64,-401199,42022,8069,59.6
7,0507,0.77,-450807,45684,7403,54.8
8,0506,1.02,-1002137,46820,7196,81.4
9,0505,0.56,-226913,37347,8919,71.4
10,0505,0.97,-495680,41130,8231,85.7
11,0506,1.23,-1464897,49500,6710,132.2
12,0505,0.64,-268491,35974,9168,87.4
13,0507,0.94,-533484,39040,8611,93.6
14,0507,1.17,-776597,42131,8049,106.1
15,0505,0.96,-502776,39721,8488,105.2
16,0506,1.29,-1577380,49270,6751,190.0
17,0507,0.73,-354421,34760,9390,106.1
18,0506,1.25,-1490494,47840,7011,226.1
19,0506,1.23,-1412101,47833,7012,214.3
20,0506,0.74,-451811,28786,10476,133.5
