episode,date,scale,total_reward,decisions,switches,wall_s
1,0507,0.76,-342185302,55252,4535,773.7
2,0505,0.91,-220832492,47919,6219,391.3
3,0506,1.40,-663173791,53220,5055,1307.1
4,0505,0.57,-167965040,46753,6371,345.6
5,0505,0.77,-281063109,43937,7054,593.9
6,0506,1.44,-1158275234,36435,8681,2028.7
7,0507,0.57,-101792002,48022,6011,209.7
8,0507,1.19,-224244965,34675,9157,479.7
9,0505,0.61,-38185292,25790,10833,83.3
10,0507,0.99,-186238594,38545,8298,386.3
11,0505,1.44,-382988564,36832,8714,784.2
12,0505,1.53,-314446983,38255,8448,591.2
13,0506,0.75,-207384382,39736,7874,334.3
14,0507,1.59,-403509347,46291,6641,694.7
15,0505,1.58,-410339459,43783,7226,635.2
16,0506,0.55,-124281374,40138,7818,185.1
17,0507,1.00,-212077900,44635,7050,333.9
18,0505,0.93,-165598127,38475,8307,264.6
19,0505,1.32,-254992953,37409,8660,369.8
20,0507,0.56,-60384781,39906,7910,122.7
