episode,date,scale,total_reward,decisions,switches,wall_s
1,0506,0.73,-568269127,72966,2442,719.6
2,0507,0.75,-433320792,67741,3392,620.4
3,0507,0.64,-109400406,56070,5514,155.2
4,0506,0.89,-139497367,56723,5396,272.1
5,0505,0.99,-3220319,52528,6158,61.6
6,0505,1.20,-6541506,49006,6799,78.7
7,0507,1.01,-2241096,52482,6167,76.3
8,0506,0.98,-4810233,56574,5423,87.6
9,0506,1.28,-64188837,60690,4674,209.9
10,0506,0.65,-631600,46894,7183,81.4
11,0506,1.05,-33134261,56576,5422,135.9
12,0505,1.06,-1153140,45178,7495,98.1
13,0507,1.24,-4323766,48852,6827,114.4
14,0506,0.85,-1494977,51800,6291,109.1
15,0505,0.94,-834608,45453,7445,109.7
16,0506,1.07,-18224463,52745,6120,113.2
17,0507,0.88,-795778,42340,8011,130.9
18,0506,0.78,-833821,48236,6939,123.9
19,0507,0.94,-1136426,43712,7762,113.0
20,0507,1.21,-3919236,45453,7445,133.6
