episode,date,scale,total_reward,decisions,switches,wall_s
1,0507,0.91,-618446799,55289,5656,782.0
2,0506,0.58,-70565795,38547,8700,77.7
3,0506,0.74,-66617575,39381,8549,77.3
4,0507,0.56,-31471437,43882,7730,47.1
5,0505,1.00,-27273996,39535,8521,52.6
6,0506,0.65,-2204637,43541,7792,35.5
7,0507,1.09,-29224003,37476,8896,63.5
8,0505,1.03,-7496474,40538,8339,47.5
9,0507,0.71,-1328444,36829,9013,43.0
10,0505,1.01,-4471390,39480,8531,50.8
11,0505,1.11,-12209438,41432,8176,61.5
12,0507,0.54,-439210,40361,8371,49.2
13,0506,1.00,-51726648,45838,7375,107.8
14,0505,1.07,-7839947,41440,8174,67.3
15,0507,0.95,-4583545,37379,8913,67.4
16,0507,0.66,-843333,36873,9005,97.2
17,0506,0.71,-1488089,42371,8006,110.0
18,0505,0.98,-3605814,39680,8494,107.7
19,0505,0.77,-797384,39438,8538,106.7
20,0506,0.61,-597404,40954,8263,106.0
