episode,date,scale,total_reward,decisions,switches,wall_s
1,0506,1.26,-220850679,62681,4313,270.8
2,0505,1.16,-840710433,65607,3780,1106.2
3,0506,0.91,-714353772,62219,4396,1430.2
4,0506,1.03,-232788736,50051,6609,553.4
5,0505,0.87,-206097776,63559,4153,441.1
6,0507,1.09,-78468167,56116,5506,197.1
7,0507,0.98,-1920823,48122,6960,55.9
8,0506,0.67,-1105028,59128,4959,73.4
9,0506,0.67,-583883,51206,6399,63.1
10,0505,0.66,-416447,48603,6872,54.6
11,0507,1.17,-2523510,50859,6462,77.0
12,0505,1.25,-2495263,52790,6111,110.2
13,0505,0.94,-664727,53021,6069,118.8
14,0507,0.72,-470837,51987,6257,123.8
15,0506,1.17,-35700661,56222,5487,204.4
16,0505,0.82,-469483,49479,6713,130.3
17,0505,0.95,-626845,48940,6811,138.6
18,0505,1.21,-1767635,48313,6925,150.2
19,0505,0.80,-443052,47235,7121,140.7
20,0507,0.53,-286029,44617,7597,137.2
