episode,date,scale,total_reward,decisions,switches,wall_s
1,0505,0.90,-5726922,64154,4045,1120.1
2,0506,1.11,-4477987,61117,4598,661.9
3,0507,0.81,-2555443,45796,7382,224.3
4,0507,1.06,-2064182,55796,5564,91.9
5,0507,1.14,-1739688,41412,8180,71.1
6,0507,1.23,-1015699,44571,7606,71.1
7,0507,0.52,-240202,32066,9879,52.4
8,0507,0.53,-226802,36201,9128,56.8
9,0506,0.58,-306102,39193,8584,64.4
10,0507,1.30,-973849,41920,8088,94.3
11,0507,1.12,-719418,41089,8238,95.8
12,0506,0.97,-843123,44946,7538,99.4
13,0506,0.51,-261243,37227,8941,90.5
14,0505,0.75,-347744,37034,8976,98.5
15,0507,1.08,-664511,35865,9188,112.2
16,0507,0.65,-306150,33044,9702,93.6
17,0507,0.73,-360097,35720,9215,112.2
18,0505,0.68,-295408,36092,9147,118.2
19,0506,1.18,-1373256,47186,7130,142.4
20,0507,0.51,-232662,34706,9399,85.8
