episode,date,scale,total_reward,decisions,switches,wall_s
1,0507,1.39,-794964791,43939,6888,1594.6
2,0506,0.57,-409631601,50704,5394,848.5
3,0505,0.71,-92186240,48368,6127,166.9
4,0506,0.70,-35840652,46692,6545,104.0
5,0505,0.98,-491702606,52724,5304,822.2
6,0507,0.64,-85156311,46938,6635,117.5
7,0505,1.21,-227492522,47026,6577,427.2
8,0507,0.80,-88291868,44388,7096,176.1
9,0506,0.62,-74643795,46773,6509,193.8
10,0507,0.98,-187380598,38878,8290,301.2
11,0507,1.19,-187002834,40899,7971,353.0
12,0506,0.95,-138112151,45224,6983,294.4
13,0505,0.87,-20399898,45897,6790,102.3
14,0507,0.62,-32466874,42075,7658,101.0
15,0507,1.53,-389716317,40195,8185,812.6
16,0506,1.29,-214185023,47875,6590,494.5
17,0505,1.29,-30915159,45629,7074,130.9
18,0507,0.65,-31580093,37612,8539,114.6
19,0505,0.65,-490321,40620,7985,95.9
20,0506,0.91,-3853143,44917,7108,107.9
