episode,date,scale,total_reward,decisions,switches,wall_s
1,0506,0.88,-408014550,54429,4607,683.5
2,0507,0.91,-494497616,62219,2972,827.9
3,0507,1.06,-721661674,41416,7566,1198.8
4,0505,0.70,-336040358,45917,6592,672.2
5,0506,1.59,-1140281025,52280,5171,1661.4
6,0505,1.03,-1761031,47501,6584,49.1
7,0506,1.05,-44866730,48557,6157,103.9
8,0506,1.31,-75397197,50350,5916,159.2
9,0507,1.43,-14322990,47160,6870,80.3
10,0506,0.78,-844279,52361,5430,59.8
11,0507,1.20,-4882404,47147,6833,72.2
12,0507,1.54,-41965574,48698,6513,126.0
13,0506,0.88,-2472947,50823,5927,76.4
14,0506,1.41,-119245513,51791,5603,290.5
15,0506,1.08,-16468680,50450,5982,99.6
16,0507,0.79,-625403,48744,6296,84.3
17,0506,1.29,-64419825,51052,5838,176.7
18,0505,1.40,-18598973,49446,6297,114.5
19,0507,1.45,-27312007,49160,6365,133.8
20,0506,1.14,-27341492,51226,5822,127.7
