date,time_5min,approach,movement,total_vph
0507,13:15,Eastbound,Left,132.4
0507,13:20,Eastbound,Left,100.7
0507,13:25,Eastbound,Left,111.5
0507,13:30,Eastbound,Left,117.9
0507,13:35,Eastbound,Left,167.2
0507,13:40,Eastbound,Left,169.0
0507,13:45,Eastbound,Left,145.8
0507,13:50,Eastbound,Left,115.9
0507,13:55,Eastbound,Left,102.5
0507,14:00,Eastbound,Left,97.6
0507,14:05,Eastbound,Left,101.3
0507,14:10,Eastbound,Left,112.0
0507,14:15,Eastbound,Left,129.3
0507,14:20,Eastbound,Left,180.8
0507,14:25,Eastbound,Left,213.7
0507,14:30,Eastbound,Left,193.9
0507,14:35,Eastbound,Left,180.8
0507,14:40,Eastbound,Left,151.0
0507,14:45,Eastbound,Left,146.1
0507,14:50,Eastbound,Left,130.4
0507,14:55,Eastbound,Left,126.5
0507,15:00,Eastbound,Left,156.0
0507,15:05,Eastbound,Left,166.6
0507,15:10,Eastbound,Left,153.1
0507,15:15,Eastbound,Left,180.5
0507,15:20,Eastbound,Left,305.3
0507,15:25,Eastbound,Left,178.4
0507,15:30,Eastbound,Left,134.9
0507,15:35,Eastbound,Left,151.6
0507,15:40,Eastbound,Left,147.2
0507,15:45,Eastbound,Left,69.7
0507,15:50,Eastbound,Left,83.7
0507,15:55,Eastbound,Left,125.1
0507,16:00,Eastbound,Left,140.0
0507,16:05,Eastbound,Left,207.2
0507,16:10,Eastbound,Left,182.2
0507,16:15,Eastbound,Left,118.3
0507,16:20,Eastbound,Left,99.2
0507,16:25,Eastbound,Left,119.5
0507,16:30,Eastbound,Left,145.0
0507,16:35,Eastbound,Left,142.9
0507,16:40,Eastbound,Left,120.3
0507,16:45,Eastbound,Left,128.5
0507,16:50,Eastbound,Left,137.5
0507,16:55,Eastbound,Left,126.3
0507,17:00,Eastbound,Left,171.3
0507,17:05,Eastbound,Left,220.2
0507,17:10,Eastbound,Left,276.5
0507,17:15,Eastbound,Left,310.6
0507,17:20,Eastbound,Left,448.6
0507,17:25,Eastbound,Left,454.8
0507,17:30,Eastbound,Left,266.9
0507,17:35,Eastbound,Left,269.6
0507,17:40,Eastbound,Left,226.4
0507,17:45,Eastbound,Left,138.5
0507,17:50,Eastbound,Left,143.4
0507,17:55,Eastbound,Left,143.7
0507,18:00,Eastbound,Left,143.3
0507,18:05,Eastbound,Left,121.6
0507,18:10,Eastbound,Left,121.2
0507,18:15,Eastbound,Left,144.2
0507,18:20,Eastbound,Left,144.0
0507,18:25,Eastbound,Left,98.2
0507,18:30,Eastbound,Left,61.4
0507,18:35,Eastbound,Left,102.5
0507,18:40,Eastbound,Left,96.9
0507,18:45,Eastbound,Left,90.7
0507,18:50,Eastbound,Left,105.7
0507,18:55,Eastbound,Left,97.1
0507,19:00,Eastbound,Left,119.3
0507,19:05,Eastbound,Left,133.3
0507,19:10,Eastbound,Left,110.2
0507,19:15,Eastbound,Left,112.1
0507,19:20,Eastbound,Left,149.8
0507,19:25,Eastbound,Left,149.5
0507,19:30,Eastbound,Left,109.3
0507,19:35,Eastbound,Left,108.7
0507,19:40,Eastbound,Left,134.3
0507,19:45,Eastbound,Left,119.9
0507,19:50,Eastbound,Left,115.8
0507,19:55,Eastbound,Left,117.1
0507,20:00,Eastbound,Left,84.7
0507,20:05,Eastbound,Left,96.8
0507,20:10,Eastbound,Left,157.0
0507,20:15,Eastbound,Left,126.7
0507,20:20,Eastbound,Left,76.1
0507,20:25,Eastbound,Left,99.8
0507,20:30,Eastbound,Left,111.2
0507,20:35,Eastbound,Left,69.4
0507,20:40,Eastbound,Left,78.5
0507,20:45,Eastbound,Left,107.5
0507,20:50,Eastbound,Left,111.9
0507,20:55,Eastbound,Left,96.5
0507,21:00,Eastbound,Left,72.3
0507,21:05,Eastbound,Left,79.4
0507,21:10,Eastbound,Left,94.2
0507,21:15,Eastbound,Left,84.9
0507,21:20,Eastbound,Left,81.0
0507,21:25,Eastbound,Left,88.3
0507,21:30,Eastbound,Left,91.1
0507,21:35,Eastbound,Left,124.3
0507,21:40,Eastbound,Left,128.3
0507,21:45,Eastbound,Left,112.6
0507,21:50,Eastbound,Left,164.1
0507,21:55,Eastbound,Left,117.2
0507,22:00,Eastbound,Left,141.7
0507,22:05,Eastbound,Left,166.7
0507,22:10,Eastbound,Left,204.8
0507,22:15,Eastbound,Left,202.4
0507,22:20,Eastbound,Left,226.9
0507,22:25,Eastbound,Left,242.0
0507,22:30,Eastbound,Left,224.8
0507,22:35,Eastbound,Left,249.1
0507,22:40,Eastbound,Left,279.0
0507,22:45,Eastbound,Left,241.8
0507,22:50,Eastbound,Left,170.2
0507,22:55,Eastbound,Left,103.4
0507,23:00,Eastbound,Left,79.2
0507,23:05,Eastbound,Left,115.4
0507,23:10,Eastbound,Left,137.3
0507,23:15,Eastbound,Left,117.3
0507,23:20,Eastbound,Left,95.7
0507,23:25,Eastbound,Left,98.4
0507,23:30,Eastbound,Left,75.5
0507,23:35,Eastbound,Left,83.8
0507,23:40,Eastbound,Left,117.5
0507,23:45,Eastbound,Left,118.8
0507,23:50,Eastbound,Left,98.3
0507,23:55,Eastbound,Left,94.0
0507,00:00,Eastbound,Thru,179.3
0507,00:05,Eastbound,Thru,140.4
0507,00:10,Eastbound,Thru,190.2
0507,00:15,Eastbound,Thru,203.2
0507,00:20,Eastbound,Thru,220.1
0507,00:25,Eastbound,Thru,211.1
0507,00:30,Eastbound,Thru,163.3
0507,00:35,Eastbound,Thru,346.6
0507,00:40,Eastbound,Thru,462.1
0507,00:45,Eastbound,Thru,425.2
0507,00:50,Eastbound,Thru,264.9
0507,00:55,Eastbound,Thru,150.0
0507,01:00,Eastbound,Thru,198.2
