episode,date,scale,total_reward,decisions,switches,wall_s
1,0507,1.59,-1319964159,26788,10486,2032.7
2,0507,1.45,-188721579,45327,6750,308.9
3,0505,0.74,-648699,60666,3667,29.1
4,0506,0.99,-50295743,51703,5811,98.4
5,0505,1.49,-48334313,52115,5881,93.9
6,0507,1.25,-116984601,52493,5595,213.2
7,0507,0.91,-45957425,58126,4335,98.0
8,0507,1.14,-63754360,56156,4837,138.5
9,0505,1.06,-1617132,56497,4980,69.7
10,0506,1.56,-330582672,53340,5595,710.1
11,0505,0.90,-1129116,54902,5045,76.6
12,0505,0.72,-690581,59786,3993,79.0
13,0506,0.92,-5024890,55784,4919,94.4
14,0507,0.61,-23521234,62163,3329,109.1
15,0506,0.87,-6013801,57423,4591,107.2
16,0505,0.75,-887438,61205,3788,106.8
17,0506,1.00,-74099253,58504,4276,210.3
18,0506,0.88,-7149471,57082,4675,121.9
19,0507,1.56,-420791782,60349,3668,920.3
20,0505,1.02,-1022532,52528,5675,124.5
