episode,date,scale,total_reward,decisions,switches,wall_s
1,0506,0.82,-553682842,60556,3306,1209.5
2,0506,1.08,-827215949,47661,6176,1682.7
3,0506,1.09,-337069619,30776,9858,626.2
4,0507,1.41,-649565721,30643,9903,971.5
5,0505,1.51,-258085246,49127,5976,462.1
6,0507,1.34,-138569751,48766,6222,251.4
7,0506,1.31,-98879411,53695,5037,186.3
8,0506,0.65,-915130,50516,5717,46.3
9,0506,0.55,-625362,48997,6185,47.7
10,0506,1.27,-70976378,53879,5014,140.7
11,0505,0.61,-491169,50564,5784,55.6
12,0506,1.57,-236936429,53639,5011,493.9
13,0507,0.97,-1528660,49274,6194,72.1
14,0507,0.51,-405991,52880,5302,70.0
15,0506,1.12,-32142761,54253,5023,111.5
16,0507,1.13,-3100731,49580,6139,88.1
17,0505,0.84,-717501,49904,6041,84.1
18,0507,0.75,-620441,51804,5637,89.4
19,0505,0.57,-391289,50843,5780,92.4
20,0506,1.37,-111028921,53870,5052,259.3
