episode,date,scale,total_reward,decisions,switches,wall_s
1,0507,1.49,-37581351,63748,3492,63.1
2,0507,1.15,-666618320,42122,7613,952.2
3,0505,0.99,-234295429,40013,7997,354.4
4,0506,0.65,-35724932,49555,6461,67.2
5,0506,1.46,-445272702,56216,5217,744.3
6,0507,1.17,-262717392,35157,9115,434.7
7,0505,1.57,-147868309,55155,5384,283.0
8,0507,0.56,-22186539,49517,6244,66.0
9,0505,0.82,-2057572,57322,4939,60.8
10,0506,1.48,-107139350,65484,3402,235.4
11,0506,0.78,-1449506,57102,5048,67.4
12,0506,1.56,-156897494,64210,3674,346.7
13,0507,1.13,-79876761,49270,6659,171.0
14,0505,1.00,-1171027,51602,6178,82.5
15,0506,0.80,-1152060,54873,5506,87.4
16,0505,1.43,-8725648,53131,5905,104.6
17,0506,0.55,-624543,57168,5038,89.2
18,0505,0.89,-808244,52075,6069,98.0
19,0507,1.31,-87922314,51822,6163,217.4
20,0507,0.81,-13250373,52350,6034,116.2
