variant,seed,scale,peak_total_delay_s,n_peak_trips
pg_norm,9,0.8,26.2,9859
pg_norm,10,0.8,27.4,9859
pg_norm,11,0.8,36.4,9859
pg_norm,12,0.8,115.9,9859
pg_norm,13,0.8,52.3,9859
pg_norm,14,0.8,25.8,9859
pg_norm,15,0.8,90.8,9859
pg_norm,16,0.8,237.7,9859
pg_norm,17,0.8,68.2,9859
pg_norm,18,0.8,136.7,9859
pg_norm,19,0.8,85.3,9859
pg_norm,0,1.0,1118.6,12322
pg_norm,1,1.0,514.5,12322
pg_norm,2,1.0,187.1,12322
pg_norm,3,1.0,733.6,12322
pg_norm,4,1.0,4219.9,8843
pg_norm,5,1.0,351.5,12322
pg_norm,6,1.0,221.8,12322
pg_norm,7,1.0,209.0,12322
pg_norm,8,1.0,112.4,12322
pg_norm,9,1.0,85.7,12322
pg_norm,10,1.0,105.8,12322
pg_norm,11,1.0,180.7,12322
pg_norm,12,1.0,746.0,12322
pg_norm,13,1.0,149.0,12322
pg_norm,14,1.0,72.7,12322
pg_norm,15,1.0,400.9,12322
pg_norm,16,1.0,708.0,12322
pg_norm,17,1.0,335.1,12322
pg_norm,18,1.0,549.9,12322
pg_norm,19,1.0,481.7,12322
pg_norm,0,1.3,2747.5,16026
pg_norm,1,1.3,1305.6,16026
pg_norm,2,1.3,1049.6,16026
pg_norm,4,1.3,4273.1,10951
pg_norm,5,1.3,944.9,16026
pg_norm,6,1.3,6446.7,16026
pg_norm,7,1.3,967.4,16026
pg_norm,8,1.3,608.4,16026
pg_norm,9,1.3,811.7,16026
pg_norm,10,1.3,792.8,16026
pg_norm,11,1.3,826.7,16026
pg_norm,12,1.3,1923.0,16026
pg_norm,13,1.3,585.7,16026
pg_norm,14,1.3,585.6,16026
pg_norm,15,1.3,4642.7,10033
pg_norm,16,1.3,1717.7,16026
pg_norm,17,1.3,2705.9,16026
pg_norm,18,1.3,9161.4,16026
pg_norm,19,1.3,1400.1,16026
pg_norm,0,1.8,9355.4,22181
pg_norm,1,1.8,4429.9,22181
pg_norm,2,1.8,3289.5,22181
pg_norm,3,1.8,13821.1,22181
pg_norm,4,1.8,4395.5,9155
pg_norm,5,1.8,3933.6,22181
pg_norm,6,1.8,12630.4,22181
pg_norm,7,1.8,12187.5,22181
pg_norm,8,1.8,2591.7,22181
pg_norm,9,1.8,4311.5,22181
pg_norm,10,1.8,3622.9,22181
pg_norm,11,1.8,3319.1,22181
pg_norm,12,1.8,6645.0,22181
pg_norm,13,1.8,2331.2,22181
pg_norm,14,1.8,5239.2,13043
pg_norm,15,1.8,5210.9,14535
pg_norm,16,1.8,6332.4,6301
pg_norm,17,1.8,13361.9,22181
pg_norm,18,1.8,12732.7,22181
pg_norm,19,1.8,4560.0,22181
pg_raw,0,0.5,25.7,6209
pg_raw,1,0.5,22.5,6209
pg_raw,2,0.5,16.9,6209
pg_raw,3,0.5,37.4,6209
pg_raw,4,0.5,15.7,6209
pg_raw,5,0.5,29.2,6209
pg_raw,6,0.5,16.6,6209
pg_raw,7,0.5,15.5,6209
pg_raw,8,0.5,17.9,6209
pg_raw,9,0.5,15.6,6209
pg_raw,10,0.5,19.5,6209
pg_raw,11,0.5,21.2,6209
pg_raw,12,0.5,20.0,6209
pg_raw,13,0.5,16.0,6209
pg_raw,14,0.5,17.4,6209
pg_raw,15,0.5,15.8,6209
pg_raw,16,0.5,19.0,6209
pg_raw,17,0.5,15.8,6209
pg_raw,18,0.5,15.6,6209
pg_raw,19,0.5,17.7,6209
pg_raw,0,0.8,596.2,9859
pg_raw,1,0.8,51.8,9859
pg_raw,2,0.8,56.2,9859
pg_raw,3,0.8,480.7,9859
pg_raw,4,0.8,25.3,9859
pg_raw,5,0.8,243.5,9859
pg_raw,6,0.8,44.8,9859
pg_raw,7,0.8,23.4,9859
pg_raw,8,0.8,109.6,9859
pg_raw,9,0.8,35.6,9859
pg_raw,10,0.8,84.4,9859
pg_raw,11,0.8,143.8,9859
pg_raw,12,0.8,118.6,9859
pg_raw,13,0.8,29.3,9859
pg_raw,14,0.8,54.8,9859
pg_raw,15,0.8,32.2,9859
pg_raw,16,0.8,153.0,9859
pg_raw,17,0.8,25.8,9859
pg_raw,18,0.8,31.4,9859
pg_raw,19,0.8,99.7,9859
pg_raw,0,1.0,1291.5,12322
pg_raw,1,1.0,219.5,12322
pg_raw,2,1.0,387.9,12322
pg_raw,3,1.0,1111.1,12322
pg_raw,4,1.0,96.2,12322
pg_raw,5,1.0,623.7,12322
pg_raw,6,1.0,267.3,12322
pg_raw,7,1.0,61.0,12322
pg_raw,8,1.0,602.1,12322
pg_raw,9,1.0,187.3,12322
pg_raw,10,1.0,480.0,12322
pg_raw,11,1.0,674.1,12322
pg_raw,12,1.0,363.5,12322
pg_raw,13,1.0,120.7,12322
pg_raw,14,1.0,383.2,12322
pg_raw,15,1.0,121.9,12322
pg_raw,16,1.0,559.8,12322
pg_raw,17,1.0,66.4,12322
pg_raw,18,1.0,117.8,12322
pg_raw,19,1.0,842.6,12322
pg_raw,0,1.3,3708.6,16026
pg_raw,1,1.3,875.9,16026
pg_raw,3,1.3,2957.6,16026
pg_raw,4,1.3,607.2,16026
pg_raw,5,1.3,1936.1,16026
pg_raw,6,1.3,1313.0,16026
pg_raw,7,1.3,883.3,16026
pg_raw,8,1.3,1573.8,16026
pg_raw,9,1.3,840.5,16026
pg_raw,10,1.3,1172.5,16026
pg_raw,11,1.3,10932.8,5164
pg_raw,12,1.3,1001.1,16026
pg_raw,13,1.3,921.0,16026
pg_raw,14,1.3,4536.6,9922
pg_raw,15,1.3,959.1,16026
pg_raw,16,1.3,13785.7,16026
pg_raw,17,1.3,549.4,16026
pg_raw,18,1.3,784.8,16026
pg_raw,19,1.3,2371.0,16026
pg_raw,0,1.8,10387.5,22181
pg_raw,1,1.8,8110.2,22181
pg_raw,2,1.8,12378.6,22181
pg_raw,3,1.8,8851.3,22181
pg_raw,4,1.8,2290.4,22181
pg_raw,5,1.8,5869.6,22181
pg_raw,6,1.8,4765.9,22181
pg_raw,7,1.8,2110.2,22181
pg_raw,8,1.8,6549.9,7777
pg_raw,9,1.8,5883.7,11838
pg_raw,10,1.8,6459.0,8009
pg_raw,11,1.8,6124.2,7675
pg_raw,12,1.8,3859.4,22181
pg_raw,13,1.8,2321.6,22181
pg_raw,14,1.8,7234.4,12043
pg_raw,15,1.8,2465.8,22181
pg_raw,16,1.8,4446.9,15468
pg_raw,17,1.8,2109.4,22181
pg_raw,18,1.8,4173.7,15695
pg_raw,19,1.8,9719.4,22181
