episode,date,scale,total_reward,decisions,switches,wall_s
1,0506,0.77,-52866694,60963,4625,61.2
2,0507,1.30,-788475539,53958,5898,1124.1
3,0505,0.85,-361880884,58719,5034,607.8
4,0505,1.17,-363915837,61339,4556,704.5
5,0506,0.95,-211373130,59281,4931,492.8
6,0507,0.68,-5888752,39591,8511,59.1
7,0507,1.21,-76162702,48511,6889,200.0
8,0507,1.09,-3169602,58218,5124,84.6
9,0506,1.07,-5175854,59972,4806,81.3
10,0505,0.85,-717451,59849,4828,86.1
11,0505,0.50,-389410,60149,4773,87.5
12,0506,1.24,-51622941,55571,5606,215.0
13,0507,0.60,-462523,55078,5695,93.3
14,0507,0.80,-621271,53043,6065,90.0
15,0505,1.19,-1580509,52856,6099,103.1
16,0505,0.76,-491692,53791,5929,83.8
17,0505,0.69,-431373,51327,6377,103.4
18,0507,1.23,-5452299,50591,6511,168.8
19,0506,1.29,-89994314,56487,5439,408.2
20,0507,0.65,-439475,50909,6453,159.2
