episode,date,scale,total_reward,decisions,switches,wall_s
1,0507,1.22,-3311833,70357,2917,80.6
2,0506,0.61,-1215421,56103,5508,37.9
3,0507,0.65,-579136,29186,10402,34.5
4,0505,1.20,-875770,42593,7965,49.0
5,0507,0.50,-211784,25939,10994,37.9
6,0507,1.29,-991032,46123,7324,62.8
7,0507,1.20,-794029,41394,8183,65.9
8,0506,0.64,-344959,38658,8680,57.0
9,0507,0.52,-230639,34997,9346,64.7
10,0507,0.57,-247359,34341,9466,69.8
11,0506,0.71,-410063,38918,8634,77.8
12,0507,1.19,-757983,41625,8141,90.3
13,0506,1.00,-847261,43253,7845,99.5
14,0506,0.71,-416582,38389,8730,93.2
15,0505,1.21,-708691,41636,8139,98.7
16,0506,0.55,-279551,36085,9148,94.6
17,0505,0.63,-267497,35283,9294,106.1
18,0507,1.14,-708551,40544,8338,117.8
19,0507,1.15,-717334,40123,8414,132.6
20,0506,0.93,-722667,41141,8229,120.2
