episode,date,scale,total_reward,decisions,switches,wall_s
1,0507,0.83,-420884669,59845,3580,1085.4
2,0506,0.89,-149464561,38633,8261,357.0
3,0506,0.70,-242396209,52220,5369,557.4
4,0505,1.06,-454837375,48480,6032,1137.2
5,0507,0.75,-8628071,46456,6592,67.1
6,0507,0.91,-118568324,47235,6311,305.5
7,0507,0.75,-74787079,47941,6125,199.5
8,0507,0.91,-96842787,46949,6379,269.1
9,0505,0.95,-83551576,46684,6487,247.7
10,0506,0.75,-55175717,46795,6493,181.9
11,0507,1.06,-152027846,51588,5419,425.6
12,0505,0.67,-70227170,42116,7332,215.0
13,0507,0.84,-86291962,46993,6396,270.0
14,0505,1.29,-129562327,45717,6855,369.5
15,0506,1.53,-497728608,46126,6746,1380.9
16,0506,0.72,-231636830,37507,8289,641.4
17,0506,0.64,-65213305,28629,10277,236.6
18,0507,1.05,-132485784,37043,8736,371.1
19,0505,1.45,-177814787,43803,7440,472.5
20,0506,0.73,-88334722,43978,7099,268.6
