episode,date,scale,total_reward,decisions,switches,wall_s
1,0507,1.29,-4896899,31038,10066,744.9
2,0505,0.66,-1274231,50678,6495,36.8
3,0505,1.19,-1878080,55931,5540,58.2
4,0505,1.08,-1732048,48925,6814,81.0
5,0505,0.51,-247709,42133,8048,42.2
6,0505,1.20,-753487,37224,8942,56.8
7,0505,1.11,-616243,42824,7923,68.5
8,0507,0.79,-395741,37445,8902,54.8
9,0505,0.86,-394014,37324,8923,70.0
10,0507,0.77,-386584,36959,8990,75.8
11,0507,0.68,-307234,35039,9338,73.7
12,0505,1.19,-687660,40458,8354,88.7
13,0507,0.55,-232463,32274,9842,81.6
14,0506,0.64,-346652,38565,8698,64.9
15,0507,0.54,-225072,32756,9754,83.4
16,0505,1.11,-611471,39194,8583,92.7
17,0507,0.68,-312015,34466,9443,91.1
18,0507,1.00,-567942,38227,8759,104.1
19,0506,1.16,-1316756,46885,7185,134.6
20,0507,0.86,-480968,38155,8772,114.7
