episode,date,scale,total_reward,decisions,switches,wall_s
1,0507,1.07,-6747200,55634,5594,1274.2
2,0507,0.76,-1399720,55067,5697,37.5
3,0506,1.23,-1677419,46179,7313,83.5
4,0507,0.88,-583456,36094,9146,44.5
5,0505,0.64,-313769,39570,8514,41.0
6,0505,1.01,-722989,39788,8475,54.5
7,0507,0.54,-240873,32127,9868,47.1
8,0505,1.13,-770504,35566,9242,65.9
9,0507,0.98,-649922,34910,9362,67.2
10,0506,0.60,-359785,41103,8236,45.7
11,0505,1.28,-1000231,42472,7987,90.1
12,0505,1.19,-839846,41726,8122,86.2
13,0507,0.78,-439693,30257,10208,76.7
14,0505,0.86,-445400,35058,9335,80.8
15,0506,1.00,-1040849,43296,7838,79.7
16,0507,0.99,-630396,36394,9092,95.5
17,0507,1.12,-794819,38680,8676,105.9
18,0506,1.14,-1305474,45503,7436,135.5
19,0506,1.07,-1170340,44545,7610,110.9
20,0506,1.12,-1262912,45699,7400,163.5
