episode,date,scale,total_reward,decisions,switches,wall_s
1,0507,1.29,-624653922,31038,10066,811.0
2,0505,0.66,-229828536,65123,3868,300.3
3,0506,1.27,-233262334,65783,3748,359.6
4,0507,0.86,-60624537,42527,7977,75.7
5,0505,1.21,-18900955,59808,4835,56.4
6,0505,0.55,-369077,59335,4921,36.8
7,0506,0.92,-2123030,49336,6739,49.3
8,0505,0.78,-582941,57320,5288,59.6
9,0507,0.63,-2783515,41823,8105,76.2
10,0507,0.55,-11114205,45101,7509,86.7
11,0505,1.08,-1478030,54949,5718,92.4
12,0506,0.84,-1521992,53609,5962,97.3
13,0505,1.14,-2578159,54508,5798,106.3
14,0505,0.75,-521198,57709,5216,102.6
15,0506,0.92,-3975420,50691,6493,118.6
16,0506,0.61,-530587,57553,5245,104.6
17,0505,0.97,-906854,53322,6014,118.7
18,0505,0.89,-687031,53910,5908,126.5
19,0507,0.65,-3193233,40635,8321,125.2
20,0505,0.62,-393369,58171,5132,135.6
