episode,date,scale,total_reward,decisions,switches,wall_s
1,0506,0.77,-3788481,51395,6364,210.7
2,0505,0.63,-1013298,41055,8245,80.0
3,0506,0.51,-474426,31307,10017,32.1
4,0507,0.80,-597756,38028,8795,43.4
5,0505,0.77,-398482,24366,11280,42.4
6,0506,1.30,-1662415,39986,8439,86.8
7,0506,0.92,-875580,31447,9992,60.1
8,0506,1.28,-1506976,49096,6783,158.6
9,0507,0.63,-297550,34708,9398,53.2
10,0506,0.76,-504735,29195,10401,62.5
11,0507,0.56,-250575,24375,11278,62.1
12,0507,0.52,-242733,30636,10140,62.5
13,0507,1.17,-789405,40603,8327,86.8
14,0506,0.69,-427488,27063,10788,72.3
15,0507,0.58,-265540,27694,10674,60.5
16,0507,0.82,-448950,33877,9550,81.9
17,0506,0.67,-398266,27666,10680,92.9
18,0505,0.62,-261369,23884,11367,92.3
19,0507,0.62,-296400,28979,10440,90.0
20,0505,1.14,-683975,32220,9851,109.6
