episode,date,scale,total_reward,decisions,switches,wall_s
1,0507,0.63,-3000381,31199,10036,125.0
2,0507,0.97,-3148488,58182,5131,66.8
3,0506,0.93,-1268521,44504,7618,45.3
4,0505,0.73,-394931,36622,9050,38.8
5,0506,0.54,-346559,50865,6461,43.2
6,0507,1.08,-783197,39491,8530,61.0
7,0505,0.54,-222594,24866,11188,47.3
8,0506,0.60,-314734,38815,8652,57.3
9,0505,0.62,-252955,35828,9195,59.1
10,0507,0.77,-387639,31955,9900,56.4
11,0505,0.55,-218796,34603,9418,62.1
12,0506,0.80,-536869,41333,8194,72.4
13,0506,0.63,-342612,40576,8332,70.4
14,0507,1.22,-804821,39158,8590,85.8
15,0506,0.58,-304612,40208,8398,59.7
16,0507,0.55,-234711,32963,9716,87.9
17,0507,0.97,-561236,37109,8962,73.1
18,0505,0.78,-360180,35600,9236,90.4
19,0507,1.24,-842558,40375,8368,107.1
20,0506,0.60,-319416,37466,8898,77.1
