episode,date,scale,total_reward,decisions,switches,wall_s
1,0507,1.15,-6921659,55927,5540,1512.9
2,0507,0.53,-2224827,49822,6650,63.6
3,0507,0.70,-670048,47290,7111,45.3
4,0507,0.81,-1497318,23596,11419,60.0
5,0507,0.77,-480533,42661,7953,53.8
6,0507,1.27,-1336836,45757,7390,95.2
7,0507,0.78,-419459,42538,7975,58.6
8,0506,0.94,-912913,48720,6851,73.2
9,0506,0.82,-560590,42153,8045,65.7
10,0505,0.96,-491731,41856,8099,78.9
11,0505,0.96,-496701,42505,7981,85.3
12,0505,1.29,-874293,45464,7443,102.0
13,0505,0.92,-466343,41504,8163,94.1
14,0507,1.10,-670652,41306,8199,110.2
15,0506,0.65,-365250,38864,8643,104.5
16,0505,0.98,-504001,41570,8151,111.7
17,0505,1.02,-532708,41526,8159,110.3
18,0507,0.87,-461451,37346,8919,109.6
19,0507,0.67,-326993,35762,9207,111.4
20,0506,0.55,-282069,40107,8418,112.7
