episode,date,scale,total_reward,decisions,switches,wall_s
1,0507,0.76,-378968913,48370,5969,774.3
2,0505,0.74,-274721747,44619,7223,550.4
3,0507,1.39,-168673781,52825,5214,390.2
4,0507,1.29,-109310782,54433,4964,266.9
5,0506,0.81,-4973094,55916,4895,66.4
6,0507,0.98,-44123168,55749,4860,134.3
7,0505,1.09,-7318243,58983,4103,90.1
8,0507,1.00,-38476582,56442,4767,91.3
9,0505,0.71,-756529,61189,3654,72.1
10,0505,1.52,-105619829,60094,3946,249.7
11,0506,0.99,-31584858,57597,4479,129.8
12,0507,0.63,-21373246,57366,4354,112.6
13,0505,1.03,-2128364,58196,4427,111.7
14,0507,1.18,-73917768,54895,4993,183.2
15,0505,1.33,-41301140,59128,4192,157.8
16,0506,0.94,-14082834,57720,4453,147.5
17,0505,0.56,-441056,61139,3577,109.4
18,0506,1.05,-33346764,58414,4370,164.7
19,0507,1.53,-121667478,55543,4997,296.9
20,0506,1.39,-186137990,56213,4886,469.4
