episode,date,scale,total_reward,decisions,switches,wall_s
1,0507,0.74,-4144712,59362,4916,278.5
2,0505,0.98,-4373511,50152,6591,382.6
3,0506,0.75,-651312,42982,7894,26.4
4,0505,0.78,-452879,43726,7759,28.6
5,0505,1.22,-748639,35763,9207,36.9
6,0505,0.62,-246625,26084,10967,30.0
7,0507,1.09,-662983,36765,9024,41.7
8,0507,0.98,-559387,36640,9048,42.7
9,0506,0.51,-245693,35409,9272,38.7
10,0507,0.88,-465931,34642,9411,45.3
11,0507,1.29,-916102,40811,8289,58.5
12,0506,1.28,-1578486,49068,6788,100.5
13,0506,1.07,-1056689,45871,7370,65.5
14,0505,0.75,-333916,36013,9162,54.7
15,0507,0.50,-214889,31776,9932,55.9
16,0505,1.00,-515465,37940,8811,64.1
17,0506,0.62,-334331,35793,9202,62.8
18,0506,0.82,-564279,38897,8637,68.3
19,0506,0.74,-453615,37366,8916,66.7
20,0505,1.15,-658468,37522,8887,75.9
