episode,date,scale,total_reward,decisions,switches,wall_s
1,0507,0.80,-758743643,55839,4256,1576.9
2,0505,1.22,-574568222,33083,9424,1327.2
3,0505,0.93,-63008680,50755,5788,167.5
4,0506,0.87,-6265195,43302,7484,58.7
5,0507,1.09,-3554536,35003,9248,57.6
6,0506,0.52,-353997,42773,7624,47.5
7,0506,1.37,-130614793,51946,5600,340.0
8,0506,1.14,-71009674,48291,6458,205.8
9,0507,1.49,-94944989,49853,6247,270.0
10,0505,1.53,-70899874,48974,6466,220.4
11,0506,1.21,-56820064,48396,6414,195.5
12,0506,1.58,-289018460,49907,6054,772.0
13,0505,0.79,-828277,44509,7205,87.1
14,0505,0.59,-335381,45112,6976,93.8
15,0505,0.72,-511655,45750,6915,102.1
16,0506,0.65,-711352,44771,7132,107.8
17,0507,1.32,-70747793,48612,6476,263.2
18,0506,1.23,-107819505,49417,6268,329.6
19,0507,0.99,-3798708,44641,7263,112.0
20,0506,1.36,-158600106,48786,6348,502.3
