episode,date,scale,total_reward,decisions,switches,wall_s
1,0507,1.59,-1285029973,43430,7066,1909.9
2,0507,0.65,-21060641,46302,6597,45.8
3,0506,1.42,-359823132,52771,5258,732.8
4,0506,1.16,-162313684,47229,6371,333.1
5,0507,1.46,-309324656,42428,7525,585.9
6,0506,0.94,-223506170,41110,7894,473.9
7,0505,0.58,-760948,36688,8711,44.4
8,0505,1.11,-2199017,40547,8035,57.7
9,0507,1.39,-147338785,46423,6834,273.4
10,0507,1.32,-83640916,42056,7726,151.2
11,0506,1.25,-170819936,46015,6915,365.9
12,0507,0.81,-18290401,35355,9118,82.6
13,0506,1.07,-41550878,42331,7833,123.5
14,0505,1.05,-1226564,36050,9071,78.1
15,0506,1.07,-41638232,39232,8471,127.4
16,0507,0.77,-1072326,34350,9337,80.5
17,0505,1.01,-1057594,35071,9269,86.1
18,0506,0.76,-807463,33674,9546,90.8
19,0505,1.27,-4211690,38743,8598,105.0
20,0507,1.42,-52745346,43242,7670,157.6
