episode,date,scale,total_reward,decisions,switches,wall_s
1,0507,1.15,-4387576,41253,8208,762.3
2,0507,0.76,-1200050,50964,6443,28.3
3,0506,1.20,-2185187,51984,6258,89.3
4,0507,0.75,-565566,41537,8157,44.7
5,0506,1.01,-917866,44227,7668,61.1
6,0507,1.28,-915297,45013,7525,73.4
7,0507,1.19,-781423,41786,8112,73.5
8,0505,1.17,-670124,43572,7787,73.5
9,0507,0.73,-349849,36037,9157,48.8
10,0506,1.11,-1107914,45367,7461,84.6
11,0506,0.55,-276777,39761,8480,66.7
12,0505,0.92,-448439,38468,8715,75.3
13,0507,1.03,-599747,37804,8836,85.5
14,0507,0.66,-302234,34560,9426,81.5
15,0505,0.58,-232796,35561,9244,82.2
16,0507,1.12,-677396,39155,8590,98.0
17,0505,1.10,-613932,39172,8587,100.6
18,0507,0.93,-510206,36212,9126,103.8
19,0506,0.87,-617341,40449,8355,112.0
20,0506,0.96,-777321,41731,8122,128.9
