episode,date,scale,total_reward,decisions,switches,wall_s
1,0507,0.74,-328310131,59362,4916,427.7
2,0505,0.98,-27924305,44771,7569,43.4
3,0507,1.22,-62244820,53637,5957,78.0
4,0505,0.95,-38014183,53179,6040,64.6
5,0505,0.91,-1114477,53518,5978,38.1
6,0505,0.67,-588292,60646,4682,40.4
7,0507,0.99,-1821766,56591,5420,50.6
8,0505,0.57,-419616,60721,4670,48.2
9,0505,1.07,-1065364,54178,5858,58.9
10,0505,1.27,-3810762,54134,5866,69.2
11,0506,1.04,-11206952,55815,5561,76.6
12,0505,0.66,-447367,55740,5574,65.9
13,0507,0.56,-456606,56268,5478,71.9
14,0505,1.16,-1327106,50821,6469,81.0
15,0507,1.03,-1312770,48775,6841,84.7
16,0507,0.62,-444452,51668,6315,83.6
17,0506,0.77,-736382,51899,6273,92.2
18,0505,1.00,-767910,48832,6830,94.2
19,0506,1.03,-8618362,50986,6439,114.3
20,0505,0.70,-418138,49281,6749,120.7
