episode,date,scale,total_reward,decisions,switches,wall_s
1,0507,0.80,-594808399,52207,4480,840.3
2,0505,0.54,-42771759,29605,10079,54.9
3,0507,1.52,-499316114,38806,8284,720.6
4,0507,1.01,-448252829,23558,11364,576.8
5,0505,0.99,-52923090,24193,11280,78.8
6,0507,0.83,-6418848,41641,7962,38.6
7,0506,0.68,-872247,28754,10462,34.1
8,0506,1.31,-230343277,41452,8130,363.4
9,0507,1.54,-177848828,45612,7260,274.8
10,0507,0.99,-3633631,39538,8499,51.6
11,0507,0.98,-3577555,37024,8943,53.8
12,0507,1.36,-60955013,46003,7237,127.7
13,0506,0.84,-4083820,33650,9589,61.9
14,0505,0.83,-856826,31043,10064,57.5
15,0505,1.21,-16279789,43682,7744,82.8
16,0506,1.10,-56723616,46058,7285,123.4
17,0507,0.92,-2962041,37731,8774,74.1
18,0506,0.94,-19848917,42923,7855,92.7
19,0507,0.65,-646728,34351,9440,75.7
20,0505,1.43,-90303457,40022,8424,175.8
