episode,date,scale,total_reward,decisions,switches,wall_s
1,0507,0.67,-4689441,60899,4636,276.7
2,0506,1.09,-2260657,63449,4173,281.6
3,0505,1.00,-1817599,37876,8822,89.1
4,0506,0.65,-701011,36463,9080,49.3
5,0505,0.82,-651196,29452,10354,56.5
6,0506,0.99,-1108482,43159,7862,119.6
7,0505,0.50,-302113,30119,10233,54.4
8,0505,1.16,-933185,32948,9719,80.4
9,0507,0.75,-634894,24874,11187,55.0
10,0506,1.14,-1405570,43650,7773,181.5
11,0506,0.73,-639124,35522,9250,73.4
12,0507,0.54,-370237,22551,11610,66.6
13,0506,0.63,-495586,25690,11038,69.9
14,0507,1.19,-1144750,34979,9350,123.9
15,0507,0.60,-417364,22276,11659,77.2
16,0507,0.94,-782671,29745,10301,87.6
17,0506,0.80,-753784,37872,8824,91.8
18,0505,1.10,-851805,37854,8826,82.3
19,0507,1.17,-1058808,33834,9558,118.7
20,0507,1.00,-833601,30248,10210,84.1
