episode,date,scale,total_reward,decisions,switches,wall_s
1,0507,0.80,-758743643,55839,4256,1911.1
2,0505,1.22,-526922809,30443,9905,1203.1
3,0505,1.08,-158094250,50854,5797,402.9
4,0506,1.16,-633951037,50163,5772,1565.7
5,0505,1.03,-74274381,40373,8081,198.2
6,0506,1.36,-92870532,46445,6720,306.6
7,0506,1.16,-63177729,43572,7490,223.5
8,0505,1.02,-3227538,42903,7616,80.7
9,0506,0.67,-721556,40140,8117,71.8
10,0505,0.90,-1360566,39691,8240,76.6
11,0506,0.93,-12492109,35865,9096,111.2
12,0507,0.95,-3625800,41088,8017,101.8
13,0506,1.49,-259685444,46355,6838,771.6
14,0507,1.14,-28296213,40680,8135,143.6
15,0507,1.51,-106822520,44089,7447,293.1
16,0506,1.19,-80955657,44388,7292,277.8
17,0507,0.96,-6058974,39227,8402,109.0
18,0506,0.78,-5093868,42413,7673,130.2
19,0506,1.31,-116678954,44958,7149,408.5
20,0505,1.27,-42240097,42098,7868,197.8
