episode,date,scale,total_reward,decisions,switches,wall_s
1,0507,1.39,-309944027,57785,3948,639.0
2,0505,0.76,-377150739,56796,4242,885.2
3,0505,0.83,-9915358,41350,7673,66.4
4,0507,0.67,-29359537,43132,7256,102.1
5,0507,1.07,-246469889,21734,11727,493.2
6,0505,1.53,-283816638,38277,8495,607.8
7,0506,0.78,-63305318,46102,6756,145.2
8,0506,1.25,-199416215,46773,6669,416.1
9,0507,1.37,-162556312,39339,8359,281.7
10,0505,1.36,-9832693,47961,6564,74.5
11,0505,1.49,-18681011,50050,6032,90.6
12,0507,0.80,-26535800,35005,9097,85.6
13,0507,0.92,-140111121,23915,11316,215.1
14,0506,0.57,-439748,48313,6448,68.9
15,0506,1.56,-602815797,46951,6629,1054.0
16,0506,1.53,-510162129,46940,6676,1111.2
17,0507,0.54,-683887,25048,11146,108.8
18,0505,1.35,-10032768,41438,7957,106.1
19,0506,1.37,-208385668,45976,6881,481.8
20,0507,0.82,-15568692,25125,11122,124.6
