episode,date,scale,total_reward,decisions,switches,wall_s
1,0507,1.15,-3926785,64352,4009,100.2
2,0507,0.71,-2031128,56840,5374,34.6
3,0505,1.06,-2054537,44894,7546,240.0
4,0507,0.89,-1042716,24446,11264,33.0
5,0505,0.52,-290025,25511,11071,25.8
5,0505,0.52,-290025,25511,11071,37.5
6,0506,0.93,-866980,48729,6850,53.5
7,0506,0.66,-484420,35657,9226,46.2
8,0507,0.54,-253860,32465,9806,46.8
9,0506,0.78,-505859,39139,8593,58.3
10,0505,1.13,-621587,32598,9782,59.2
11,0506,1.14,-1300564,36768,9024,101.7
12,0505,0.73,-335728,33916,9542,66.9
13,0506,0.87,-640026,29769,10296,76.3
14,0506,0.67,-401355,25614,11052,61.4
15,0505,1.09,-600642,31375,10005,87.8
16,0505,0.63,-272518,29910,10271,84.9
17,0506,0.53,-275943,23627,11414,82.0
18,0505,1.26,-790493,32912,9726,104.9
19,0505,1.08,-590094,34565,9424,95.4
20,0505,0.76,-352458,24705,11218,82.7
