episode,date,scale,total_reward,decisions,switches,wall_s
1,0506,0.82,-577890433,64076,3149,837.5
2,0507,1.35,-721111746,42368,7492,1088.7
3,0505,1.28,-488370475,36862,8315,764.7
4,0505,1.24,-58235795,48214,6618,115.8
5,0505,0.86,-2507531,52090,6073,39.8
6,0507,1.29,-107505606,47708,6899,163.7
7,0506,0.55,-526993,55778,5353,43.3
8,0507,0.63,-18161028,49127,6547,61.8
9,0507,1.11,-61561234,48973,6553,120.5
10,0507,1.03,-50269996,48957,6626,111.2
11,0505,1.21,-2099145,53373,5923,70.6
12,0505,0.68,-442631,56717,5317,66.4
13,0507,0.87,-28167946,50931,6274,95.3
14,0507,1.17,-43165925,49941,6357,124.2
15,0506,1.07,-39629014,57850,4850,126.6
16,0507,0.71,-5993162,51525,6208,90.7
17,0505,0.55,-347953,53138,5955,88.9
18,0507,1.33,-49796375,50097,6340,152.2
19,0505,1.29,-4593421,49644,6524,112.0
20,0506,0.53,-438114,52537,6062,102.1
