episode,date,scale,total_reward,decisions,switches,wall_s
1,0507,0.67,-5846937,54617,5779,709.9
2,0506,0.62,-1558343,69345,3101,46.9
3,0507,1.27,-1909141,53648,5955,105.2
4,0505,1.14,-1501364,34739,9393,62.4
5,0506,1.20,-1497429,54351,5828,142.5
6,0507,0.61,-373977,38842,8647,57.3
7,0505,0.55,-269192,40010,8435,59.3
8,0505,1.28,-1009078,43728,7759,93.5
9,0506,0.53,-309007,39167,8588,65.5
10,0507,0.66,-348232,28868,10460,70.2
11,0505,0.79,-402220,38228,8758,67.7
12,0506,0.71,-488683,39783,8476,89.2
13,0507,0.70,-361024,28608,10508,74.5
14,0507,0.67,-330686,33147,9682,88.9
15,0507,0.79,-429727,34621,9414,92.5
16,0507,0.55,-242911,32561,9790,100.6
17,0505,1.09,-693970,39535,8521,105.1
18,0505,0.62,-265836,34025,9523,94.3
19,0505,0.90,-478292,36708,9035,110.6
20,0506,0.60,-347213,36248,9118,119.1
