episode,date,scale,total_reward,decisions,switches,wall_s
1,0506,0.77,-2570163,60743,4665,115.6
2,0506,0.85,-1148174,42826,7922,29.1
3,0506,0.83,-620584,41264,8206,23.1
4,0506,0.99,-868532,32330,9831,31.0
5,0505,0.83,-388624,26593,10874,24.3
6,0507,1.03,-607401,32635,9776,47.1
7,0506,0.64,-358872,35971,9169,39.8
8,0507,0.51,-217587,32518,9797,38.2
9,0507,0.68,-319915,31362,10007,48.6
10,0505,0.60,-241076,32374,9823,47.6
11,0505,1.22,-838168,37764,8843,65.4
12,0505,0.68,-309346,36336,9102,57.4
13,0506,0.53,-264612,34428,9450,52.7
14,0505,0.88,-425030,33100,9691,67.8
15,0506,1.30,-1669005,46157,7317,167.3
16,0505,1.02,-540889,36787,9020,78.2
17,0507,0.76,-387730,30779,10113,76.0
18,0507,0.56,-248746,30528,10158,83.1
19,0505,0.58,-235888,31701,9946,83.8
20,0507,0.64,-301234,30504,10163,77.7
