episode,date,scale,total_reward,decisions,switches,wall_s
1,0507,1.29,-5220667,35805,9200,964.2
2,0507,1.29,-3499839,53456,5990,388.3
3,0506,1.29,-2207195,57619,5233,339.5
4,0505,1.05,-669849,41636,8139,51.8
5,0505,1.05,-623707,38952,8627,55.4
6,0506,0.54,-311878,34873,9369,48.1
7,0507,0.50,-218984,29489,10348,37.9
8,0506,0.87,-735540,42021,8069,64.5
9,0506,0.98,-929191,42171,8042,61.8
10,0505,0.72,-336852,33512,9616,66.3
11,0506,0.63,-388842,36482,9076,62.9
12,0505,0.70,-327460,33232,9667,67.9
12,0505,0.70,-327460,33232,9667,32.2
13,0505,1.10,-690564,39383,8548,40.1
14,0505,0.97,-539776,36684,9040,39.9
15,0505,0.50,-208960,31063,10062,36.0
16,0507,0.53,-236243,30014,10252,38.8
17,0506,1.18,-1374011,45606,7418,75.7
18,0506,0.66,-415732,37546,8882,45.8
19,0507,0.75,-395831,32819,9742,47.5
20,0507,0.54,-251542,30631,10140,46.9
