episode,date,scale,total_reward,decisions,switches,wall_s
1,0506,1.55,-325756380,64098,2571,904.9
2,0505,1.28,-1211852018,57539,3996,2334.0
3,0505,0.73,-208495762,55243,4808,529.7
4,0505,0.79,-224378676,51829,5423,586.7
5,0507,1.24,-701754121,48161,5996,1555.7
6,0505,1.37,-200154235,38786,8342,589.8
7,0507,1.08,-40474087,32341,9625,139.3
8,0507,0.76,-5360339,43910,7215,83.6
9,0506,1.19,-135349221,52119,5341,463.4
10,0506,1.47,-329636838,50703,5703,1094.8
11,0505,1.13,-1645579,44692,7253,98.9
12,0507,1.19,-53556926,34892,9146,190.9
13,0506,0.88,-1128753,47667,6559,92.2
14,0506,0.73,-617170,47467,6569,90.4
15,0507,1.21,-55635144,34783,9165,158.2
16,0505,1.24,-2394997,48536,6469,102.7
17,0507,1.10,-40009356,34002,9333,133.8
18,0506,0.61,-442763,46588,6757,103.5
19,0505,0.88,-613052,45664,7056,113.5
20,0506,1.19,-28096255,47167,6719,173.6
