episode,date,scale,total_reward,decisions,switches,wall_s
1,0507,1.06,-630833480,16552,12659,1197.2
2,0505,1.19,-187122894,50360,5582,428.9
3,0506,1.12,-229266526,54335,4874,398.5
4,0505,0.87,-4997839,25124,11072,45.3
5,0505,1.43,-146157564,44419,7486,293.0
6,0505,1.09,-241392077,40824,7999,413.0
7,0507,1.18,-66312454,30361,10109,110.2
8,0506,1.57,-482292944,35214,9099,867.0
9,0506,0.81,-4871907,32789,9645,50.3
10,0505,1.15,-43815827,44314,7417,92.7
11,0507,1.49,-163964544,47741,6825,293.9
12,0507,1.54,-167962369,45475,7298,311.2
13,0506,1.36,-222480630,49993,6313,425.8
14,0506,1.32,-202335904,42355,7825,397.7
15,0505,1.29,-48682762,41163,8131,119.3
16,0507,1.54,-163384137,42353,7910,336.9
17,0507,1.41,-124915186,41845,8029,270.0
18,0507,1.17,-49816899,40863,8225,134.8
19,0506,0.77,-13878380,38496,8653,97.1
20,0505,1.10,-24766819,42076,7993,111.4
