episode,date,scale,total_reward,decisions,switches,wall_s
1,0505,0.79,-3792530,59491,4892,357.6
2,0507,1.23,-4268471,61346,4556,532.2
3,0505,1.05,-2288875,48126,6959,71.1
4,0506,0.57,-1140181,51929,6268,107.9
5,0506,1.07,-1382660,33024,9705,81.7
6,0505,1.16,-920480,30114,10234,57.2
7,0505,0.79,-433844,29580,10331,52.0
8,0506,1.04,-1089781,44099,7692,86.7
9,0507,1.05,-681765,39864,8462,71.7
10,0507,0.93,-516515,34558,9426,74.8
11,0505,1.29,-902125,42606,7962,86.2
12,0507,0.93,-525912,34765,9388,76.5
13,0505,0.81,-374577,34618,9415,88.3
14,0507,0.60,-273498,31430,9995,76.1
15,0506,0.76,-507272,37686,8858,101.4
16,0507,0.85,-454636,32838,9739,75.5
17,0505,1.06,-585090,36691,9038,100.4
18,0507,0.65,-309109,31305,10018,94.9
19,0506,1.21,-1407838,45662,7407,170.4
20,0505,1.10,-658206,38118,8779,112.9
