episode,date,scale,total_reward,decisions,switches,wall_s
1,0506,1.26,-2960116,66267,3660,232.3
2,0506,1.30,-2668517,60810,4653,757.0
3,0506,0.66,-1065751,42552,7972,89.4
4,0505,1.20,-995889,45268,7478,63.8
5,0505,1.01,-773370,47026,7159,56.2
6,0505,0.75,-355120,38903,8636,47.6
7,0505,0.87,-436047,38765,8661,53.6
8,0505,0.68,-304760,36404,9090,52.7
9,0505,1.27,-984103,37792,8838,74.1
10,0506,0.68,-419964,39163,8589,64.0
11,0507,0.88,-488315,32911,9726,71.0
12,0507,1.10,-742272,39310,8562,76.2
13,0505,0.98,-533581,37522,8887,70.8
14,0507,1.13,-782725,39820,8470,94.5
15,0505,0.95,-512468,36906,8999,69.6
16,0506,0.94,-864663,42506,7981,107.0
17,0507,0.54,-230393,31241,10030,89.8
18,0506,0.67,-414969,38174,8768,109.0
19,0507,1.23,-919170,40895,8274,123.5
20,0507,1.18,-828348,39699,8492,113.8
