episode,date,scale,total_reward,decisions,switches,wall_s
1,0507,0.69,-4696988,63814,4106,242.8
2,0507,1.25,-3314384,52724,6123,133.0
3,0505,1.29,-2197199,39460,8534,297.8
4,0505,0.59,-776323,54165,5862,30.7
5,0507,0.68,-777021,45323,7468,42.4
6,0507,0.67,-344792,41922,8087,35.8
7,0507,1.18,-1009701,54191,5856,52.0
8,0506,1.29,-1709409,54880,5731,146.1
9,0507,1.28,-980398,49094,6783,63.5
10,0506,0.51,-301569,50983,6440,50.9
11,0506,0.80,-586353,49666,6679,57.6
12,0507,0.58,-294040,45002,7527,56.5
13,0506,1.20,-1404698,55010,5708,136.4
14,0505,1.02,-573855,43924,7723,69.0
15,0505,0.80,-396191,43398,7818,68.6
16,0507,0.55,-254664,39403,8545,68.2
17,0506,1.19,-1322493,51877,6277,126.5
18,0506,1.03,-1028671,48667,6861,93.8
19,0505,1.04,-592734,43592,7784,82.9
20,0505,1.22,-799103,45926,7359,93.6
