episode,date,scale,total_reward,decisions,switches,wall_s
1,0507,0.74,-5021976,65337,3830,287.6
2,0507,0.82,-2542799,59258,4935,67.7
3,0505,0.82,-815195,34134,9503,29.4
4,0505,0.66,-388965,43187,7858,27.7
5,0507,0.57,-262822,31824,9923,27.7
6,0506,1.03,-1182964,45477,7441,43.9
7,0507,1.09,-704750,39268,8570,42.9
8,0506,1.15,-1297612,46598,7237,75.1
9,0506,1.04,-1057592,44122,7688,55.2
10,0505,0.89,-467266,36466,9079,47.0
11,0507,1.02,-615073,37166,8952,54.3
12,0507,1.10,-728788,38720,8670,59.0
13,0506,0.98,-973313,43132,7867,62.6
14,0505,1.03,-591076,38270,8751,62.2
15,0506,0.89,-729152,40397,8364,65.8
16,0505,1.09,-633838,38424,8723,68.7
17,0506,0.56,-307418,34636,9412,64.2
18,0507,0.67,-331361,31934,9903,66.1
19,0505,0.54,-242394,33355,9645,67.3
20,0506,0.97,-902646,42052,8064,79.9
