episode,date,scale,total_reward,decisions,switches,wall_s
1,0507,0.91,-6023926,59051,4972,719.2
2,0507,1.21,-2348737,51206,6399,54.2
3,0506,1.00,-2239984,38354,8736,223.4
4,0506,1.15,-1664929,38190,8766,73.8
5,0505,0.83,-569115,28141,10592,29.5
6,0505,1.05,-741813,31337,10012,35.1
7,0507,0.51,-244281,19728,12122,29.5
8,0506,0.89,-788409,41665,8134,41.1
9,0506,0.51,-277897,34874,9368,35.1
10,0505,1.14,-694153,41000,8254,44.9
11,0506,1.22,-1455680,42482,7986,140.6
12,0506,1.16,-1245702,37931,8812,87.9
13,0505,0.89,-455388,26222,10942,50.7
14,0507,0.64,-308932,25622,11051,46.2
15,0505,0.60,-256201,21794,11747,46.7
16,0506,0.79,-563241,27784,10658,55.3
17,0507,0.92,-540985,33541,9611,59.3
18,0507,1.28,-982566,41372,8188,70.7
19,0507,0.83,-456385,30815,10106,61.0
20,0505,0.95,-504058,27619,10688,68.4
