episode,date,scale,total_reward,decisions,switches,wall_s
1,0507,0.83,-394506235,56134,4315,1015.4
2,0506,1.42,-1492900344,48913,5809,3023.7
3,0505,1.54,-827642427,41770,7369,1849.0
4,0505,1.07,-775448569,46927,6625,1957.4
5,0505,1.47,-250433634,33801,9360,651.9
6,0506,1.57,-730356674,41795,7647,1756.3
7,0505,1.29,-303750395,34112,9299,759.6
8,0507,0.73,-81483765,50702,5678,244.2
9,0505,1.56,-336623932,39445,8323,747.7
10,0507,1.05,-174787973,49853,5984,377.3
11,0506,1.59,-588626364,47439,6516,1247.4
12,0507,1.09,-122503201,39086,8305,244.0
13,0505,0.61,-1396183,43990,7323,59.6
14,0505,0.77,-18428753,38690,8368,80.4
15,0505,1.49,-258931311,37750,8650,518.6
16,0507,1.59,-325917167,37875,8590,585.1
17,0506,1.33,-399368905,40602,7980,731.9
18,0507,1.47,-287488613,38028,8556,487.7
19,0507,0.74,-17759563,43297,7421,91.6
20,0507,1.53,-310672758,39183,8369,515.3
