episode,date,scale,total_reward,decisions,switches,wall_s
1,0506,0.73,-4742654,72768,2478,686.9
2,0505,0.73,-932961,62536,4339,38.6
3,0507,0.88,-1732789,42465,7988,308.5
4,0506,0.95,-927603,40395,8364,40.3
5,0505,0.81,-379858,38704,8672,49.5
6,0507,0.84,-463815,40846,8283,55.5
7,0507,0.91,-510351,41639,8138,48.6
8,0507,0.75,-371517,38630,8686,64.8
9,0505,1.04,-570226,43684,7766,73.6
10,0507,1.09,-675468,42244,8028,78.2
11,0505,0.92,-465031,41119,8233,74.8
12,0507,0.72,-356621,36235,9122,61.4
13,0506,1.02,-940395,45031,7522,107.2
14,0505,1.08,-660431,41999,8074,109.4
15,0506,1.11,-1182076,46001,7346,138.7
16,0507,1.08,-672852,41285,8203,113.8
17,0506,0.71,-440481,39694,8492,114.6
18,0506,0.74,-458472,39666,8498,113.9
19,0506,1.28,-1612424,48775,6841,218.6
20,0507,0.54,-255029,34684,9403,92.1
