episode,date,scale,total_reward,decisions,switches,wall_s
1,0507,1.07,-6820900,59491,4892,1314.1
2,0506,0.77,-2840466,19075,12241,336.3
3,0507,0.88,-4004450,53993,5892,535.8
4,0505,0.54,-435215,39621,8506,33.7
5,0505,1.03,-649436,43295,7838,38.5
6,0507,0.65,-303520,33287,9657,38.3
7,0507,1.06,-673297,41584,8148,68.0
8,0506,1.17,-1295592,49562,6698,86.3
9,0505,1.15,-719103,41528,8158,66.4
10,0506,0.71,-441186,38720,8670,58.6
11,0506,0.98,-853148,42508,7980,70.7
12,0507,0.62,-285646,32720,9760,64.5
13,0507,0.60,-279556,33628,9595,63.4
14,0506,0.63,-354270,36598,9056,61.4
15,0506,0.96,-840507,41596,8146,71.4
16,0505,1.13,-679018,39282,8567,70.6
17,0505,0.53,-216366,34178,9495,65.0
18,0505,1.14,-673824,38825,8650,76.4
19,0505,1.24,-803435,39678,8495,83.3
20,0507,0.60,-276984,29359,10372,74.1
