episode,date,scale,total_reward,decisions,switches,wall_s
1,0507,1.06,-894817308,35388,8886,1508.4
2,0507,0.86,-291412229,37466,8545,658.4
3,0507,1.26,-349325596,42673,7513,657.2
4,0506,1.12,-616755304,41163,7769,968.9
5,0507,0.61,-2148491,30501,9965,34.7
6,0506,1.57,-459358820,46753,6578,900.3
7,0505,0.65,-213039312,45898,6633,407.7
8,0507,1.37,-234046658,38215,8619,447.8
9,0507,0.54,-15591364,42311,7629,60.7
10,0505,0.93,-3828158,40602,8078,59.8
11,0505,1.33,-23929655,45290,7253,93.0
12,0506,1.30,-232413295,47104,6867,496.7
13,0505,0.67,-936054,38193,8551,64.2
14,0506,1.35,-319790000,44884,7277,662.4
15,0507,0.60,-14783722,32346,9747,79.1
16,0506,1.53,-540883329,41999,7878,1043.9
17,0507,0.60,-12308724,29627,10273,81.6
18,0505,1.11,-5900888,37137,8925,88.8
19,0506,0.60,-617639,32013,9876,79.3
20,0506,0.89,-10578303,35240,9286,97.5
