episode,date,scale,total_reward,decisions,switches,wall_s
1,0506,1.55,-310966117,64738,2432,890.8
2,0506,0.98,-1079557164,52946,5036,2198.5
3,0505,1.33,-308428298,53859,4910,891.1
4,0506,0.54,-17027809,45915,6684,74.0
5,0506,1.15,-307720340,47676,6509,876.5
6,0506,0.95,-95490631,41121,7765,279.8
7,0505,1.43,-127570308,42338,7679,392.6
8,0506,0.98,-61103157,49531,6104,193.6
9,0506,1.13,-95428554,52341,5519,325.7
10,0505,1.10,-27016060,53329,5276,142.2
11,0507,1.51,-97258852,49719,6117,346.6
12,0505,1.52,-60777514,48176,6487,200.3
13,0507,1.00,-2745691,54275,4975,85.5
14,0505,0.62,-501337,50946,5738,115.5
15,0507,0.85,-969009,54044,5081,135.2
16,0505,0.77,-690741,52746,5333,129.3
17,0505,1.47,-24980730,49264,6146,204.3
18,0505,0.81,-688566,54748,4863,150.4
19,0507,0.56,-466297,54891,4867,152.5
20,0507,1.29,-7923638,50669,5795,176.3
