episode,date,scale,total_reward,decisions,switches,wall_s
1,0506,1.24,-5399955,69666,3043,1208.9
2,0505,1.10,-1696092,60904,4636,57.0
3,0507,0.67,-1416482,32814,9743,74.0
4,0506,0.50,-379823,46449,7264,36.7
5,0507,1.23,-1118337,52424,6178,66.9
6,0505,0.74,-331838,42736,7939,53.2
7,0506,1.16,-1268864,48753,6845,64.6
8,0506,0.57,-307335,40962,8262,56.7
9,0506,1.12,-1203981,47972,6987,76.7
10,0506,0.63,-358810,40180,8404,54.5
11,0505,0.51,-194997,36799,9018,60.9
12,0505,0.50,-191966,35036,9339,55.3
13,0505,1.06,-607155,39458,8535,82.3
14,0507,0.56,-236553,33144,9683,80.4
15,0506,0.87,-695411,42119,8052,92.4
16,0506,0.55,-286250,37225,8942,65.8
17,0507,1.01,-604674,38025,8796,90.4
18,0507,0.55,-231979,33182,9676,91.0
19,0507,0.86,-458140,35307,9290,100.7
20,0506,0.99,-946248,43725,7760,104.5
