episode,date,scale,total_reward,decisions,switches,wall_s
1,0507,1.18,-6732893,73206,2399,938.2
2,0507,1.12,-2361381,68916,3179,69.7
3,0506,0.51,-683705,61183,4585,43.7
4,0505,1.09,-1072587,46036,7340,56.0
5,0507,0.99,-883118,52229,6213,62.2
6,0505,1.04,-589950,47444,7083,66.5
7,0505,0.98,-529448,42780,7931,61.4
8,0507,0.78,-401606,34262,9480,70.3
9,0507,1.00,-596179,42274,8023,89.1
10,0506,0.99,-927744,45712,7398,94.1
11,0507,0.88,-476128,40334,8376,91.4
12,0506,0.51,-257756,39184,8585,84.3
13,0507,0.85,-443972,39304,8563,104.8
14,0505,0.98,-510436,41592,8147,101.3
15,0507,0.81,-404839,35949,9173,99.2
16,0507,0.75,-359708,35360,9280,103.0
17,0506,0.63,-346587,38651,8682,117.7
18,0505,0.97,-499383,37368,8915,113.7
19,0506,0.52,-259703,36734,9030,114.9
20,0507,1.26,-900549,41957,8080,104.9
