episode,date,scale,total_reward,decisions,switches,wall_s
1,0507,0.69,-1404808,61931,4449,38.5
2,0505,0.68,-740715,47807,7017,26.7
3,0506,1.01,-1243933,54036,5884,38.3
4,0506,0.94,-908350,45213,7488,38.3
5,0506,0.65,-431088,40403,8364,29.0
6,0507,1.23,-1046906,45386,7458,50.9
7,0506,1.06,-1225809,50973,6442,65.1
8,0506,0.93,-898533,47918,6997,51.1
9,0505,1.07,-711351,42203,8036,48.2
10,0507,0.93,-579199,36676,9041,48.9
11,0507,0.93,-570875,36245,9120,52.4
12,0506,0.61,-391899,38586,8694,50.1
13,0507,1.28,-1098810,43696,7764,75.5
14,0507,1.29,-1135969,42661,7952,85.4
15,0505,0.90,-493978,36598,9055,63.9
16,0505,0.84,-437671,34860,9371,66.5
17,0506,1.12,-1286453,46030,7340,111.0
18,0507,1.21,-974013,41361,8189,89.0
19,0505,0.53,-229282,36336,9102,72.3
20,0505,1.09,-700131,38354,8736,82.8
