episode,date,scale,total_reward,decisions,switches,wall_s
1,0506,1.55,-316623238,61293,3213,900.7
2,0505,1.55,-1555765575,55762,4422,2796.4
3,0507,0.78,-333298733,48991,5893,824.9
4,0506,1.53,-733798042,50823,5548,1756.1
5,0506,0.92,-183360197,42148,7593,494.1
6,0507,1.31,-180190281,41240,7971,458.3
7,0505,1.16,-2115022,51679,5685,78.3
8,0505,1.07,-1583217,47334,6577,82.4
9,0507,0.52,-11734051,46071,6774,83.6
10,0506,0.90,-3161494,50993,5748,98.4
11,0505,1.56,-278836180,51723,5593,753.3
12,0505,0.81,-617765,45367,6823,88.6
13,0507,0.53,-12688063,43318,7323,112.8
14,0507,1.02,-57143889,39139,8332,223.3
15,0506,1.45,-207081413,52783,5379,704.0
16,0507,1.19,-58324054,34949,9204,223.9
17,0505,1.48,-9908474,49613,6175,161.8
18,0505,0.53,-309016,44650,7108,126.6
19,0506,0.95,-1953287,44813,7141,133.2
20,0507,0.93,-34032855,34191,9324,143.4
