episode,date,scale,total_reward,decisions,switches,wall_s
1,0507,0.80,-658023291,57335,3980,1685.4
2,0507,1.42,-541639192,40549,8072,1131.7
3,0507,1.32,-704900608,44774,6799,1590.7
4,0507,0.77,-19210293,40879,8038,75.3
5,0507,1.50,-233569495,47875,6464,599.8
6,0507,1.07,-74005085,42978,7362,233.8
7,0507,1.17,-313785739,37852,8432,874.3
8,0505,0.82,-727740,56655,4484,79.0
9,0507,1.30,-112651065,43530,7336,321.1
10,0507,0.90,-59265109,43464,7287,185.5
11,0507,1.15,-94746280,44563,7127,295.8
12,0507,1.02,-74546794,43487,7328,223.0
13,0506,0.90,-2872619,48701,6181,110.8
14,0506,1.31,-269639607,56172,4464,763.9
15,0507,0.62,-22462109,42736,7313,136.2
16,0507,1.34,-111475950,43398,7490,359.5
17,0505,0.84,-531584,52081,5476,124.9
18,0507,0.78,-45557757,42131,7588,196.5
19,0505,1.43,-8156103,48456,6416,156.9
20,0505,1.31,-3922593,48265,6486,161.5
