episode,date,scale,total_reward,decisions,switches,wall_s
1,0506,1.26,-3188977,62681,4313,168.4
2,0505,1.16,-1661366,53153,6045,106.6
3,0506,0.75,-699044,46663,7225,26.5
4,0507,1.25,-1270995,49822,6650,39.6
5,0506,0.53,-687538,46868,7188,32.1
6,0505,1.02,-696336,47466,7079,39.1
7,0506,0.64,-374612,28306,10563,35.6
8,0507,1.03,-661902,37562,8880,44.9
9,0505,0.69,-310466,37478,8896,42.0
10,0506,0.67,-424801,39575,8514,44.6
11,0505,1.13,-704334,40034,8430,55.0
12,0506,1.04,-1039892,35607,9236,62.5
13,0505,0.62,-264080,34596,9419,51.1
14,0506,1.00,-975908,34882,9367,66.1
15,0507,1.16,-804772,40833,8285,71.2
16,0505,0.83,-404920,36745,9028,63.9
17,0507,1.00,-614176,37809,8835,71.0
18,0506,0.97,-918858,42914,7907,79.6
19,0506,1.29,-1635250,48741,6848,148.1
20,0506,0.76,-541260,42410,7998,75.8
