episode,date,scale,total_reward,decisions,switches,wall_s
1,0507,1.29,-3574300,47061,7152,520.0
2,0507,1.23,-1949756,38402,8727,163.4
3,0505,1.16,-1233678,36919,8996,110.5
4,0505,0.65,-717947,37787,8839,41.1
5,0505,0.65,-451211,43717,7760,42.3
6,0505,1.00,-767978,30705,10126,55.4
7,0506,1.26,-1688251,38625,8686,350.3
8,0506,0.68,-603266,27153,10772,59.9
9,0505,0.92,-680835,29118,10415,66.8
10,0506,0.98,-1150131,32017,9888,144.8
11,0505,0.95,-710722,29593,10329,80.1
12,0506,1.17,-1554411,35572,9242,252.3
13,0505,0.87,-613678,27745,10665,73.4
14,0507,0.76,-583242,25829,11014,76.5
15,0505,1.02,-808288,30154,10227,82.4
16,0507,1.00,-894626,30957,10081,106.8
17,0505,0.63,-368749,31054,10064,87.2
18,0505,0.52,-267260,22257,11662,86.0
19,0507,0.57,-361310,22715,11580,81.2
20,0505,0.59,-318209,22932,11540,91.5
