episode,date,scale,total_reward,decisions,switches,wall_s
1,0507,0.72,-530242763,53238,6030,701.9
2,0506,0.66,-188936945,48744,6846,257.3
3,0507,0.89,-21083886,58932,4994,54.8
4,0505,0.80,-832386,41165,8224,31.7
5,0506,0.61,-625069,47796,7019,32.9
6,0506,0.54,-599974,53802,5927,35.1
7,0505,0.52,-519112,53947,5900,37.9
8,0505,0.89,-1020718,52341,6192,48.0
9,0505,0.79,-824443,53331,6012,50.5
10,0505,0.74,-720955,54000,5891,54.1
11,0507,1.16,-6006481,53329,6013,71.5
12,0506,0.86,-1419204,50931,6450,65.3
13,0507,0.71,-847833,52526,6159,67.9
14,0506,0.86,-2118596,52737,6120,75.0
15,0507,0.95,-2460810,51846,6282,81.3
16,0506,0.93,-4476168,50898,6455,125.6
17,0507,1.08,-5316543,51492,6347,128.7
18,0506,1.02,-8908083,50031,6612,139.0
19,0505,0.80,-742851,48143,6956,124.3
20,0506,0.60,-567931,51250,6391,129.1
